Truth,1_2_3,1_2_4,1_3_4,2_3_4
1_2_3,0.9235864297253634,0.06365105008077543,0.005008077544426495,0.007754442649434573
1_2_4,0.17147826086956522,0.7380869565217392,0.06991304347826087,0.02052173913043478
1_3_4,0.0070063694267515925,0.070276008492569,0.7976645435244162,0.12505307855626327
2_3_4,0.052807017543859656,0.07491228070175437,0.1024561403508772,0.7698245614035086
